"Country or Area","Year(s)","Variant","Value"
"China","2057","No change","1106204.052"
"China","2057","Momentum","1407162.792"
"China","2057","Instant replacement zero migration","1498402.658"
"China","2057","Median PI","1240879.992"
"China","2057","Upper 80 PI","1318003.172"
"China","2057","Lower 80 PI","1158975.493"
"China","2057","Upper 95 PI","1356453.395"
"China","2057","Lower 95 PI","1106547.155"
"China","2056","Medium","1252371.989"
"China","2056","High","1377296.696"
"China","2056","Low","1134370.565"
"China","2056","Constant fertility","1208410.068"
"China","2056","Instant replacement","1485593.073"
"China","2056","Zero migration","1265582.859"
"China","2056","Constant mortality","1166304.168"
"China","2056","No change","1122646.78"
"China","2056","Momentum","1412655.977"
"China","2056","Instant replacement zero migration","1500470.69"
"China","2056","Median PI","1252371.989"
"China","2056","Upper 80 PI","1327590.899"
"China","2056","Lower 80 PI","1172389.536"
"China","2056","Upper 95 PI","1363601.536"
"China","2056","Lower 95 PI","1120167.455"
"China","2055","Medium","1263512.555"
"China","2055","High","1383797.209"
"China","2055","Low","1149011.997"
"China","2055","Constant fertility","1221325.37"
"China","2055","Instant replacement","1488072.769"
"China","2055","Zero migration","1276299.207"
"China","2055","Constant mortality","1180836.238"
"China","2055","No change","1138930.755"
"China","2055","Momentum","1418168.069"
"China","2055","Instant replacement zero migration","1502442.063"
"China","2055","Median PI","1263512.555"
"China","2055","Upper 80 PI","1337144.668"
"China","2055","Lower 80 PI","1185444.087"
"China","2055","Upper 95 PI","1371241.799"
"China","2055","Lower 95 PI","1134161.346"
"China","2054","Medium","1274244.756"
"China","2054","High","1389953.262"
"China","2054","Low","1163234.17"
"China","2054","Constant fertility","1233914.478"
"China","2054","Instant replacement","1490439.986"
"China","2054","Zero migration","1286608.765"
"China","2054","Constant mortality","1195068.41"
"China","2054","No change","1154997.567"
"China","2054","Momentum","1423671.539"
"China","2054","Instant replacement zero migration","1504306.769"
"China","2054","Median PI","1274244.756"
"China","2054","Upper 80 PI","1345972.832"
"China","2054","Lower 80 PI","1198723.431"
"China","2054","Upper 95 PI","1379209.531"
"China","2054","Lower 95 PI","1149352.131"
"China","2053","Medium","1284539.877"
"China","2053","High","1395744.617"
"China","2053","Low","1177018.428"
"China","2053","Constant fertility","1246149.115"
"China","2053","Instant replacement","1492692.843"
"China","2053","Zero migration","1296482.927"
"China","2053","Constant mortality","1208946.024"
"China","2053","No change","1170792.997"
"China","2053","Momentum","1429138.423"
"China","2053","Instant replacement zero migration","1506062.558"
"China","2053","Median PI","1284539.877"
"China","2053","Upper 80 PI","1354131.231"
"China","2053","Lower 80 PI","1211398.703"
"China","2053","Upper 95 PI","1386220.668"
"China","2053","Lower 95 PI","1164102.582"
"China","2052","Medium","1294381.091"
"China","2052","High","1401167.028"
"China","2052","Low","1190357.052"
"China","2052","Constant fertility","1257991.862"
"China","2052","Instant replacement","1494815.367"
"China","2052","Zero migration","1305905.188"
"China","2052","Constant mortality","1222437.112"
"China","2052","No change","1186264.612"
"China","2052","Momentum","1434537.668"
"China","2052","Instant replacement zero migration","1507693.021"
"China","2052","Median PI","1294381.091"
